instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
3572,1,20,20,21,3,5,2,26,3,0,0,1,1,1,1,1656714.2744053658,1656714.2744053658,1656714.2744053658,0.008052899967879057,2.8461644999915734,1.9556216999772005,0.3363569999928586,0.5541630000225268,1.9033112000324763,0.6504420000128448,3.5046593999722973,6020,5,2.697386758399034e-11,1.9875790827998193e-08,4.153241977965452e-11,0.0,0.0,1.9875790827998193e-08,0.0,0.0,0.0
3394,1,20,20,3,1,0,0,3,1,0,0,19,19,19,1,1659694.8690043113,1659694.8690043113,1659694.8690043113,0.009001400030683726,2.852604900021106,1.9761291000177152,0.3279124000109732,0.548540799994953,1.923817299946677,0.5985767999663949,3.4601831000181846,6020,5,1.9782953053493202e-11,1.9911441939690616e-08,4.150311114794071e-11,0.0,0.0,1.9911441939690616e-08,0.0,0.0,0.0
3055,1,20,20,0,0,0,0,0,0,0,0,8,8,8,1,1675140.6476588596,1675140.6476588596,1675140.6476588596,0.013007800036575645,2.8218860999913886,1.9651091000414453,0.31232589995488524,0.5443971000495367,1.913385100022424,0.6050499000120908,3.439943800040055,6020,5,2.7540414393456558e-11,1.991931619649277e-08,4.375254622278405e-11,0.0,0.0,1.991931619649277e-08,0.0,0.0,0.0
1032,1,20,20,49,6,4,4,53,6,0,0,16,16,16,1,1620359.872910265,1620359.872910265,1620359.872910265,0.010273799998685718,2.8678960999823175,1.9697531999554485,0.33724520000396296,0.5608399999910034,1.9174527999712154,0.623508499993477,3.5016783999744803,6020,5,3.184819075130463e-11,1.9933193984300585e-08,3.753314411050205e-11,0.0,0.0,1.9933193984300585e-08,0.0,0.0,0.0
914,1,20,20,5,2,0,0,5,2,0,0,14,14,14,1,1564735.947151566,1564735.947151566,1564735.947151566,0.009865099971648306,2.8327133000129834,1.9534452999942005,0.3180096000432968,0.5612366999848746,1.8995041999733075,0.6152057999861427,3.4577841999707744,6020,5,2.8972380050618085e-11,1.9888503806816006e-08,4.127236672341926e-11,0.0,0.0,1.9888503806816006e-08,0.0,0.0,0.0
1524,1,20,20,20,1,0,0,20,1,0,0,10,10,10,1,1680807.404568572,1680807.404568572,1680807.404568572,0.01281889999518171,2.842514800024219,1.973298099997919,0.31751530000474304,0.551679200027138,1.9203023999580182,0.5983238999615423,3.453657599980943,6020,5,2.1749269052406817e-11,1.9914806840641082e-08,4.0999899973596144e-11,0.0,0.0,1.9914806840641082e-08,0.0,0.0,0.0
251,1,20,20,0,0,0,0,0,0,0,0,8,8,8,1,1403743.4934083023,1403743.4934083023,1403743.4934083023,0.009922700002789497,2.767649400047958,1.9470195000176318,0.274953700019978,0.5455912000034004,1.8960662999888882,0.596465399954468,3.3740375000052154,6020,5,1.4466761122378102e-11,1.990824819812311e-08,4.3568436397826363e-11,0.0,0.0,1.990824819812311e-08,0.0,0.0,0.0
224,1,20,20,0,0,0,0,0,0,0,0,19,19,19,1,1375534.2885145512,1375534.2885145512,1375534.2885145512,0.00871329999063164,2.775939900020603,1.9633813999826089,0.2742372000357136,0.538274199992884,1.9138103000004776,0.6042595999897458,3.3889128000009805,6020,5,1.1914247366462405e-11,1.9868814926660133e-08,4.658921703880856e-11,0.0,0.0,1.9868814926660133e-08,0.0,0.0,0.0
529,1,20,19,43,2,0,0,43,2,0,0,10,10,5,1,1669490.358908732,1669490.358908732,1669490.358908732,0.009606899984646589,2.842127999989316,1.9570314000011422,0.32793669996317476,0.5571360000176355,1.9059693000162952,0.6091480000177398,3.4608828999917023,6020,5,3.752331778628104e-11,1.9876947310315513e-08,4.15261184959209e-11,0.0,0.0,1.9876947310315513e-08,0.0,0.0,0.0
2876,1,20,20,23,4,2,1,25,4,0,0,6,6,6,1,1546567.1269050876,1546567.1269050876,1546567.1269050876,0.00902279996080324,2.8073468999937177,1.9599644999834709,0.3077376000001095,0.5396227999590337,1.909353099996224,0.5879260000074282,3.404295699961949,6020,5,2.3406832028172175e-11,1.9873239165413265e-08,4.738250777121138e-11,0.0,0.0,1.9873239165413265e-08,0.0,0.0,0.0
3237,1,20,20,86,3,92,3,178,3,0,0,3,3,3,1,1584086.4194770698,1584086.4194770698,1584086.4194770698,0.013953899964690208,2.8306994999875315,1.9523320000153035,0.3368280000286177,0.5415226999903098,1.9021928999572992,0.5859330999664962,3.430586499918718,6020,5,2.6888824500304054e-11,1.9887017958334714e-08,4.141310864424681e-11,0.0,0.0,1.9887017958334714e-08,0.0,0.0,0.0
2486,1,20,19,0,0,0,0,0,0,0,0,16,16,16,1,1397541.7657956486,1397541.7657956486,1397541.7657956486,0.00929409998934716,2.7559632000047714,1.9485716000199318,0.2697969999862835,0.5375518999644555,1.8960695000132546,0.6056778999627568,3.3709351999568753,6020,5,1.5180523504909615e-11,1.9904569659168187e-08,4.150840684224801e-11,0.0,0.0,1.9904569659168187e-08,0.0,0.0,0.0
29,1,20,20,29,4,12,3,41,4,0,0,14,14,14,1,1650411.0569667013,1650411.0569667013,1650411.0569667013,0.009375699970405549,2.83760120003717,1.9533819000353105,0.3512009999831207,0.5330030000186525,1.90458769997349,0.6138307999353856,3.4608076999429613,6020,5,2.178213165393572e-11,1.9984000565464993e-08,3.542039797732541e-11,0.0,0.0,1.9984000565464993e-08,0.0,0.0,0.0
